Province,District_Name,Crop_Year,Season,Crop,Area,Production
Bulawayo,Bulawayo,1999,Dry,Wheat,253,11749
Bulawayo,Bulawayo,1999,Dry,Barley,284,8911
Bulawayo,Bulawayo,1999,Dry,Oats,203,16785
Bulawayo,Bulawayo,1999,Dry,Rye,234,8626
Bulawayo,Bulawayo,1999,Dry,Mustard greens,257,5676
Bulawayo,Bulawayo,1999,Dry,Spinach,5,14357
Bulawayo,Bulawayo,1999,Dry,Kale,420,2535
Bulawayo,Bulawayo,1999,Dry,Carrots,24,14842
Bulawayo,Bulawayo,1999,Dry,Beets,78,10284
Bulawayo,Bulawayo,1999,Dry,Broccoli,25,18529
Bulawayo,Bulawayo,2000,Dry,Cauliflower,409,23832
Bulawayo,Bulawayo,2000,Dry,Turmeric,93,23031
Mashonaland Central,Bindura,2000,Rainy     ,Maize ,374,15239
Mashonaland Central,Bindura,2000,Rainy     ,Soybeans,98,3063
Mashonaland Central,Bindura,2000,Rainy     ,Groundnuts (Peanuts),431,9694
Mashonaland Central,Bindura,2000,Rainy     ,Cowpeas,45,10990
Mashonaland Central,Bindura,2000,Rainy     ,Sunflower,380,23829
Mashonaland Central,Bindura,2000,Rainy     ,Sorghum,69,3128
Mashonaland Central,Bindura,2000,Rainy     ,Millet,125,15077
Mashonaland Central,Bindura,2000,Rainy     ,Beans,278,19618
Mashonaland Central,Bindura,2000,Rainy     ,Wheat,222,15848
Mashonaland Central,Bindura,2000,Dry,Barley,22,4340
Mashonaland Central,Bindura,2000,Dry,Oats,369,8982
Mashonaland Central,Bindura,2000,Dry,Rye,97,7391
Mashonaland Central,Bindura,2000,Dry,Mustard greens,357,14893
Mashonaland Central,Bindura,2000,Hot     ,Peppers,277,16437
Mashonaland Central,Bindura,2000,Hot     ,Okra,450,15520
Mashonaland Central,Bindura,2000,Cold       ,Kale,366,19636
Mashonaland Central,Bindura,2000,Cold       ,Spinach,275,21337
Mashonaland Central,Bindura,2000,Cold       ,Lettuce,92,4677
Mashonaland Central,Bindura,2000,Cold       ,Broccoli,194,4473
Mashonaland Central,Bindura,2000,Cold       ,Cauliflower,59,8470
Mashonaland Central,Gururve,2000,Cold       ,Cabbage,19,19215
Mashonaland Central,Gururve,2000,Cold       ,Carrots,285,24289
Mashonaland Central,Gururve,2000,Cold       ,Beets,182,15064
Mashonaland Central,Gururve,2000,Cold       ,Peas,107,8738
Mashonaland Central,Gururve,2000,Cold       ,Radishes,229,17080
Mashonaland Central,Gururve,2000,Cold       ,Soyabean,68,16542
Mashonaland Central,Gururve,2000,Hot     ,Sunflower,389,2395
Mashonaland Central,Gururve,2000,Hot     ,Maize ,172,13490
Mashonaland Central,Gururve,2000,Hot     ,Soybeans,275,8550
Mashonaland Central,Gururve,2000,Hot     ,Groundnuts (Peanuts),317,1826
Mashonaland Central,Gururve,2000,Hot     ,Cowpeas,56,16108
Mashonaland Central,Gururve,2000,Hot     ,Sunflower,11,6962
Mashonaland Central,Gururve,2000,Rainy     ,Sorghum,383,3160
Mashonaland Central,Gururve,2000,Rainy     ,Millet,15,7284
Mashonaland Central,Gururve,2000,Rainy     ,Beans,304,14632
Mashonaland Central,Gururve,2000,Rainy     ,Sweet potatoes,184,18660
Mashonaland Central,Gururve,2000,Rainy     ,Watermelons,211,14872
Mashonaland Central,Gururve,2000,Rainy     ,Tomatoes,130,14784
Mashonaland Central,Gururve,2000,Rainy     ,Cabbage,337,7340
Mashonaland Central,Mazowe,2001,Rainy     ,Peppers,24,8111
Mashonaland Central,Mazowe,2001,Rainy     ,Okra,73,19648
Mashonaland Central,Mazowe,2001,Rainy     ,Cucumbers,325,9965
Mashonaland Central,Mazowe,2001,Rainy     ,Wheat,339,10524
Mashonaland Central,Mazowe,2001,Rainy     ,Barley,280,16871
Mashonaland Central,Mazowe,2001,Rainy     ,Oats,287,24857
Mashonaland Central,Mazowe,2001,Rainy     ,Rye,109,24759
Mashonaland Central,Mazowe,2001,Rainy     ,Mustard greens,200,23311
Mashonaland Central,Mazowe,2001,Rainy     ,Spinach,164,2256
Mashonaland Central,Mazowe,2001,Rainy     ,Kale,155,12802
Mashonaland Central,Mazowe,2001,Cold       ,Carrots,3,4485
Mashonaland Central,Mazowe,2001,Cold       ,Beets,191,3594
Mashonaland Central,Mazowe,2001,Cold       ,Broccoli,134,3603
Mashonaland Central,Mazowe,2001,Cold       ,Cauliflower,349,15830
Mashonaland Central,Mazowe,2001,Cold       ,Cabbage,137,21409
Mashonaland Central,Mazowe,2001,Cold       ,Onions,478,2639
Mashonaland Central,Mazowe,2001,Dry,Garlic,66,10719
Mashonaland Central,Mazowe,2001,Dry,Peas,155,3938
Mashonaland Central,Mazowe,2001,Dry,Radishes,433,3462
Mashonaland Central,Mbire,2001,Dry,Kale,271,20927
Mashonaland Central,Mbire,2001,Dry,Spinach,87,2238
Mashonaland Central,Mbire,2001,Dry,Lettuce,171,5184
Mashonaland Central,Mbire,2001,Dry,Broccoli,230,4830
Mashonaland Central,Mbire,2001,Cold       ,Cauliflower,376,8529
Mashonaland Central,Mbire,2001,Cold       ,Cabbage,281,9425
Mashonaland Central,Mbire,2001,Cold       ,Carrots,397,17983
Mashonaland Central,Mbire,2001,Cold       ,Beets,186,18108
Mashonaland Central,Mbire,2001,Hot     ,Peas,439,11108
Mashonaland Central,Mbire,2001,Hot     ,Radishes,473,18978
Mashonaland Central,Mbire,2001,Hot     ,Sweet potatoes,235,11212
Mashonaland Central,Mbire,2001,Rainy     ,Watermelons,268,3456
Mashonaland Central,Mbire,2001,Rainy     ,Tomatoes,37,8611
Mashonaland Central,Mbire,2001,Rainy     ,Peppers,29,13876
Mashonaland Central,Mbire,2001,Rainy     ,Okra,309,24329
Mashonaland Central,Mbire,2001,Rainy     ,Cucumbers,182,3959
Mashonaland Central,Mbire,2001,Rainy     ,Eggplant,58,18490
Mashonaland Central,Mbire,2001,Rainy     ,Pumpkins,27,12691
Mashonaland Central,Mbire,2001,Rainy     ,Squash,362,6320
Mashonaland Central,Mbire,2002,Cold       ,Melons,458,19979
Mashonaland Central,Mbire,2002,Cold       ,Maize ,495,19025
Mashonaland Central,Mbire,2002,Cold       ,Soybeans,379,19218
Mashonaland Central,Mbire,2002,Cold       ,Groundnuts (Peanuts),386,11739
Mashonaland Central,Mbire,2002,Cold       ,Cowpeas,220,8206
Mashonaland Central,Mukumbura,2002,Cold       ,Sunflower,246,9536
Mashonaland Central,Mukumbura,2002,Cold       ,Sorghum,403,19231
Mashonaland Central,Mukumbura,2002,Cold       ,Millet,190,15888
Mashonaland Central,Mukumbura,2002,Cold       ,Beans,62,6867
Mashonaland Central,Mukumbura,2002,Rainy     ,Sweet potatoes,213,9999
Mashonaland Central,Mukumbura,2002,Rainy     ,Watermelons,115,12401
Mashonaland Central,Mukumbura,2002,Rainy     ,Tomatoes,50,17191
Mashonaland Central,Mukumbura,2002,Rainy     ,Cabbage,12,14335
Mashonaland Central,Mukumbura,2002,Rainy     ,Peppers,417,15105
Mashonaland Central,Mukumbura,2002,Rainy     ,Okra,145,6607
Mashonaland Central,Mukumbura,2002,Rainy     ,Cucumbers,156,18243
Mashonaland Central,Mukumbura,2002,Rainy     ,Wheat,260,16313
Mashonaland Central,Mukumbura,2002,Cold       ,Barley,101,14592
Mashonaland Central,Mukumbura,2002,Cold       ,Oats,297,11708
Mashonaland Central,Mukumbura,2002,Cold       ,Rye,76,3496
Mashonaland Central,Mukumbura,2002,Cold       ,Mustard greens,393,7898
Mashonaland Central,Mukumbura,2002,Cold       ,Spinach,444,23554
Mashonaland Central,Mukumbura,2002,Cold       ,Kale,257,17776
Mashonaland Central,Mukumbura,2002,Cold       ,Carrots,138,22577
Mashonaland Central,Mukumbura,2002,Cold       ,Beets,157,449
Mashonaland Central,Muzarabani,2002,Cold       ,Broccoli,432,8564
Mashonaland Central,Muzarabani,2002,Cold       ,Cauliflower,494,20803
Mashonaland Central,Muzarabani,2002,Cold       ,Cabbage,220,23923
Mashonaland Central,Muzarabani,2002,Hot     ,Onions,428,12827
Mashonaland Central,Muzarabani,2002,Hot     ,Garlic,324,18409
Mashonaland Central,Muzarabani,2002,Hot     ,Peas,73,11199
Mashonaland Central,Muzarabani,2002,Hot     ,Radishes,309,13589
Mashonaland Central,Muzarabani,2002,Dry,Kale,192,9797
Mashonaland Central,Muzarabani,2002,Dry,Spinach,390,18108
Mashonaland Central,Muzarabani,2002,Dry,Lettuce,194,12499
Mashonaland Central,Muzarabani,2002,Dry,Broccoli,454,9283
Mashonaland Central,Muzarabani,2002,Dry,Cauliflower,184,9938
Mashonaland Central,Muzarabani,2002,Dry,Cabbage,258,1089
Mashonaland Central,Muzarabani,2002,Dry,Carrots,36,8044
Mashonaland Central,Muzarabani,2002,Dry,Beets,208,8268
Mashonaland Central,Muzarabani,2002,Dry,Peas,488,16311
Mashonaland Central,Muzarabani,2002,Dry,Radishes,18,8315
Mashonaland Central,Muzarabani,2002,Dry,Sweet potatoes,319,9690
Mashonaland Central,Muzarabani,2002,Dry,Watermelons,239,18457
Mashonaland Central,Muzarabani,2002,Dry,Tomatoes,129,17865
Mashonaland Central,Muzarabani,2002,Dry,Peppers,154,24094
Mashonaland Central,Muzarabani,2002,Dry,Okra,60,22191
Mashonaland Central,Muzarabani,2002,Hot     ,Cucumbers,448,14297
Mashonaland Central,Muzarabani,2002,Hot     ,Eggplant,337,1448
Mashonaland Central,Muzarabani,2002,Hot     ,Pumpkins,424,22204
Mashonaland Central,Muzarabani,2002,Hot     ,Squash,43,5697
Mashonaland Central,Muzarabani,2002,Hot     ,Melons,48,23364
Mashonaland Central,Muzarabani,2003,Hot     ,Maize ,25,16316
Mashonaland Central,Muzarabani,2003,Rainy     ,Soybeans,344,23093
Mashonaland Central,Muzarabani,2003,Rainy     ,Groundnuts (Peanuts),406,6037
Mashonaland Central,Muzarabani,2003,Rainy     ,Cowpeas,194,13311
Mashonaland Central,Muzarabani,2003,Rainy     ,Sunflower,405,8705
Mashonaland Central,Muzarabani,2003,Rainy     ,Sorghum,121,24835
Mashonaland Central,Rushinga,2003,Rainy     ,Millet,386,22320
Mashonaland Central,Rushinga,2003,Rainy     ,Beans,263,9794
Mashonaland Central,Rushinga,2003,Rainy     ,Sweet potatoes,229,14525
Mashonaland Central,Rushinga,2003,Rainy     ,Watermelons,23,12304
Mashonaland Central,Rushinga,2003,Rainy     ,Tomatoes,69,14080
Mashonaland Central,Rushinga,2003,Rainy     ,Cabbage,121,1548
Mashonaland Central,Rushinga,2003,Rainy     ,Peppers,60,6200
Mashonaland Central,Rushinga,2003,Rainy     ,Okra,9,5524
Mashonaland Central,Rushinga,2003,Rainy     ,Cucumbers,477,23984
Mashonaland Central,Rushinga,2003,Rainy     ,Wheat,422,6127
Mashonaland Central,Rushinga,2003,Rainy     ,Barley,495,8889
Mashonaland Central,Rushinga,2003,Cold       ,Oats,232,8783
Mashonaland Central,Rushinga,2003,Cold       ,Rye,457,18187
Mashonaland Central,Rushinga,2003,Cold       ,Mustard greens,53,6506
Mashonaland Central,Rushinga,2003,Cold       ,Spinach,203,24253
Mashonaland Central,Rushinga,2003,Cold       ,Kale,378,1116
Mashonaland Central,Rushinga,2003,Cold       ,Carrots,438,8692
Mashonaland Central,Rushinga,2003,Cold       ,Beets,211,24391
Mashonaland Central,Rushinga,2003,Cold       ,Broccoli,181,16197
Mashonaland Central,Rushinga,2003,Cold       ,Cauliflower,121,4852
Mashonaland Central,Rushinga,2003,Cold       ,Cabbage,76,15581
Mashonaland Central,Rushinga,2003,Cold       ,Onions,32,15008
Mashonaland Central,Rushinga,2003,Hot     ,Garlic,264,3301
Mashonaland Central,Rushinga,2003,Hot     ,Peas,42,15231
Mashonaland Central,Rushinga,2003,Hot     ,Radishes,382,18992
Mashonaland Central,Rushinga,2003,Hot     ,Kale,104,7110
Mashonaland Central,Rushinga,2003,Dry ,Spinach,212,18612
Mashonaland Central,Rushinga,2003,Dry ,Lettuce,215,10105
Mashonaland Central,Shamva,2003,Dry ,Broccoli,103,2663
Mashonaland Central,Shamva,2003,Dry ,Cauliflower,382,14111
Mashonaland Central,Shamva,2003,Dry ,Cabbage,99,3427
Mashonaland Central,Shamva,2003,Dry ,Carrots,203,8960
Mashonaland Central,Shamva,2003,Dry ,Beets,294,20990
Mashonaland Central,Shamva,2003,Dry ,Peas,399,19831
Mashonaland Central,Shamva,2003,Dry ,Radishes,422,21760
Mashonaland Central,Shamva,2003,Dry ,Sweet potatoes,379,20565
Mashonaland Central,Shamva,2003,Dry ,Watermelons,207,20176
Mashonaland Central,Shamva,2003,Dry ,Tomatoes,155,12179
Mashonaland Central,Shamva,2003,Dry ,Peppers,68,19377
Mashonaland Central,Shamva,2003,Dry ,Okra,51,23204
Mashonaland Central,Shamva,2003,Dry ,Cucumbers,21,20825
Mashonaland Central,Shamva,2003,Dry ,Eggplant,86,21350
Mashonaland Central,Shamva,2003,Dry ,Pumpkins,171,8934
Mashonaland Central,Shamva,2004,Rainy     ,Squash,203,24137
Mashonaland Central,Shamva,2004,Rainy     ,Melons,126,6605
Mashonaland Central,Shamva,2004,Rainy     ,Maize ,261,22620
Mashonaland Central,Shamva,2004,Rainy     ,Soybeans,295,22612
Mashonaland Central,Shamva,2004,Rainy     ,Groundnuts (Peanuts),154,10335
Mashonaland Central,Shamva,2004,Rainy     ,Cowpeas,218,20638
Mashonaland Central,Shamva,2004,Rainy     ,Sunflower,183,5234
Mashonaland Central,Shamva,2004,Rainy     ,Sorghum,26,23217
Mashonaland Central,Shamva,2004,Rainy     ,Millet,382,1729
Mashonaland Central,Shamva,2004,Rainy     ,Beans,325,17903
Mashonaland Central,Shamva,2004,Rainy     ,Sweet potatoes,369,10958
Mashonaland Central,Shamva,2004,Rainy     ,Watermelons,466,19594
Mashonaland Central,Shamva,2004,Rainy     ,Tomatoes,461,11917
Mashonaland Central,Shamva,2004,Rainy     ,Cabbage,461,14238
Mashonaland Central,Shamva,2004,Rainy     ,Peppers,151,15249
Manicaland ,Buhera,2004,Rainy     ,Okra,317,9052
Manicaland ,Buhera,2004,Rainy     ,Cucumbers,77,16867
Manicaland ,Buhera,2004,Cold       ,Wheat,58,6449
Manicaland ,Buhera,2004,Cold       ,Barley,372,10641
Manicaland ,Buhera,2004,Cold       ,Oats,264,20463
Manicaland ,Buhera,2004,Cold       ,Rye,16,8826
Manicaland ,Buhera,2004,Cold       ,Mustard greens,322,3862
Manicaland ,Buhera,2004,Cold       ,Spinach,352,10415
Manicaland ,Buhera,2004,Cold       ,Kale,169,21073
Manicaland ,Buhera,2004,Cold       ,Carrots,150,23768
Manicaland ,Buhera,2004,Cold       ,Beets,160,1769
Manicaland ,Buhera,2004,Cold       ,Broccoli,317,16977
Manicaland ,Buhera,2004,Cold       ,Cauliflower,88,18012
Manicaland ,Buhera,2004,Hot     ,Cabbage,37,23481
Manicaland ,Buhera,2004,Hot     ,Onions,58,3537
Manicaland ,Buhera,2004,Dry ,Garlic,343,2371
Manicaland ,Buhera,2004,Dry ,Peas,414,9003
Manicaland ,Buhera,2004,Dry ,Radishes,346,12709
Manicaland ,Buhera,2004,Dry ,Kale,35,4086
Manicaland ,Buhera,2004,Dry ,Spinach,445,15766
Manicaland ,Buhera,2004,Dry ,Lettuce,120,7814
Manicaland ,Buhera,2004,Dry ,Broccoli,167,4286
Manicaland ,Buhera,2004,Dry ,Cauliflower,163,10837
Manicaland ,Buhera,2004,Dry ,Cabbage,229,6628
Manicaland ,Buhera,2005,Rainy     ,Carrots,167,3344
Manicaland ,Buhera,2005,Rainy     ,Beets,478,20860
Manicaland ,Buhera,2005,Rainy     ,Peas,461,8588
Manicaland ,Buhera,2005,Rainy     ,Radishes,499,23232
Manicaland ,Buhera,2005,Rainy     ,Sweet potatoes,313,24646
Manicaland ,Buhera,2005,Rainy     ,Watermelons,264,6238
Manicaland ,Buhera,2005,Rainy     ,Tomatoes,84,6410
Manicaland ,Buhera,2005,Rainy     ,Peppers,320,21317
Manicaland ,Buhera,2005,Rainy     ,Okra,302,20349
Manicaland ,Buhera,2005,Rainy     ,Cucumbers,467,20422
Manicaland ,Buhera,2005,Rainy     ,Eggplant,454,18781
Manicaland ,Buhera,2005,Rainy     ,Pumpkins,240,15912
Manicaland ,Buhera,2005,Rainy     ,Squash,243,5600
Manicaland ,Buhera,2005,Rainy     ,Melons,291,20272
Manicaland ,Buhera,2005,Rainy     ,Maize ,355,2117
Manicaland ,Buhera,2005,Rainy     ,Soybeans,223,9292
Manicaland ,Buhera,2005,Rainy     ,Groundnuts (Peanuts),50,17828
Manicaland ,Buhera,2005,Cold       ,Cowpeas,457,17244
Manicaland ,Buhera,2005,Cold       ,Sunflower,404,3940
Manicaland ,Buhera,2005,Cold       ,Sorghum,81,6832
Manicaland ,Buhera,2005,Cold       ,Millet,40,11882
Manicaland ,Buhera,2005,Cold       ,Beans,30,8394
Manicaland ,Buhera,2005,Cold       ,Sweet potatoes,181,6516
Manicaland ,Buhera,2005,Cold       ,Watermelons,33,10594
Manicaland ,Buhera,2005,Cold       ,Tomatoes,127,16624
Manicaland ,Chimanimani,2005,Cold       ,Cabbage,92,2131
Manicaland ,Chimanimani,2005,Cold       ,Peppers,220,10456
Manicaland ,Chimanimani,2005,Cold       ,Okra,248,7434
Manicaland ,Chimanimani,2005,Cold       ,Cucumbers,269,16583
Manicaland ,Chimanimani,2005,Cold       ,Wheat,133,1364
Manicaland ,Chimanimani,2005,Hot     ,Barley,198,9128
Manicaland ,Chimanimani,2005,Hot     ,Oats,332,1110
Manicaland ,Chimanimani,2005,Hot     ,Rye,496,2750
Manicaland ,Chimanimani,2005,Hot     ,Mustard greens,276,4831
Manicaland ,Chimanimani,2005,Hot     ,Spinach,471,3261
Manicaland ,Chimanimani,2005,Hot     ,Kale,77,7748
Manicaland ,Chimanimani,2005,Dry ,Carrots,285,3659
Manicaland ,Chimanimani,2005,Dry ,Beets,199,13684
Manicaland ,Chimanimani,2005,Dry ,Broccoli,265,1144
Manicaland ,Chimanimani,2005,Dry ,Cauliflower,172,17053
Manicaland ,Chimanimani,2005,Dry ,Cabbage,247,14190
Manicaland ,Chimanimani,2005,Dry ,Onions,265,21439
Manicaland ,Chimanimani,2005,Dry ,Garlic,477,23113
Manicaland ,Chimanimani,2005,Dry ,Peas,383,20871
Manicaland ,Chimanimani,2005,Dry ,Radishes,199,24966
Manicaland ,Chimanimani,2006,Rainy     ,Kale,197,12363
Manicaland ,Chimanimani,2006,Rainy     ,Spinach,298,15293
Manicaland ,Chimanimani,2006,Rainy     ,Lettuce,81,5999
Manicaland ,Chimanimani,2006,Rainy     ,Broccoli,271,858
Manicaland ,Chimanimani,2006,Rainy     ,Cauliflower,219,4645
Manicaland ,Chimanimani,2006,Rainy     ,Cabbage,488,23852
Manicaland ,Chimanimani,2006,Rainy     ,Carrots,358,5858
Manicaland ,Chimanimani,2006,Rainy     ,Beets,69,24472
Manicaland ,Chimanimani,2006,Rainy     ,Peas,11,12040
Manicaland ,Chimanimani,2006,Rainy     ,Radishes,175,19943
Manicaland ,Chipinge,2006,Rainy     ,Sweet potatoes,89,16749
Manicaland ,Chipinge,2006,Rainy     ,Watermelons,249,3400
Manicaland ,Chipinge,2006,Rainy     ,Tomatoes,367,21093
Manicaland ,Chipinge,2006,Rainy     ,Peppers,268,16979
Manicaland ,Chipinge,2006,Rainy     ,Okra,355,20385
Manicaland ,Chipinge,2006,Cold       ,Cucumbers,288,24432
Manicaland ,Chipinge,2006,Cold       ,Eggplant,243,14006
Manicaland ,Chipinge,2006,Cold       ,Pumpkins,37,13722
Manicaland ,Chipinge,2006,Cold       ,Squash,221,10398
Manicaland ,Chipinge,2006,Cold       ,Melons,67,17213
Manicaland ,Chipinge,2006,Cold       ,Maize ,114,11274
Manicaland ,Chipinge,2006,Cold       ,Soybeans,332,20246
Manicaland ,Chipinge,2006,Cold       ,Groundnuts (Peanuts),405,8247
Manicaland ,Chipinge,2006,Cold       ,Cowpeas,149,8899
Manicaland ,Chipinge,2006,Cold       ,Sunflower,303,4283
Manicaland ,Chipinge,2006,Hot     ,Sorghum,215,16028
Manicaland ,Chipinge,2006,Hot     ,Millet,328,11070
Manicaland ,Chipinge,2006,Dry ,Beans,386,18837
Manicaland ,Makoni,2006,Dry ,Sweet potatoes,477,8029
Manicaland ,Makoni,2006,Dry ,Watermelons,133,22374
Manicaland ,Makoni,2006,Dry ,Tomatoes,93,23437
Manicaland ,Makoni,2006,Dry ,Cabbage,23,22200
Manicaland ,Makoni,2006,Dry ,Peppers,101,14123
Manicaland ,Makoni,2006,Dry ,Okra,6,14625
Manicaland ,Makoni,2006,Dry ,Cucumbers,500,5896
Manicaland ,Makoni,2006,Dry ,Wheat,38,3152
Manicaland ,Makoni,2006,Dry ,Barley,166,22906
Manicaland ,Makoni,2006,Dry ,Oats,343,21816
Manicaland ,Makoni,2007,Rainy     ,Rye,80,12155
Manicaland ,Makoni,2007,Rainy     ,Mustard greens,281,14471
Manicaland ,Makoni,2007,Rainy     ,Spinach,496,13519
Manicaland ,Makoni,2007,Rainy     ,Kale,129,7112
Manicaland ,Makoni,2007,Rainy     ,Carrots,156,5609
Manicaland ,Makoni,2007,Rainy     ,Beets,359,3854
Manicaland ,Makoni,2007,Rainy     ,Broccoli,209,17943
Manicaland ,Makoni,2007,Rainy     ,Cauliflower,282,22101
Manicaland ,Makoni,2007,Rainy     ,Cabbage,324,17807
Manicaland ,Makoni,2007,Rainy     ,Onions,180,22331
Manicaland ,Makoni,2007,Rainy     ,Garlic,16,18024
Manicaland ,Makoni,2007,Rainy     ,Peas,335,16207
Manicaland ,Makoni,2007,Rainy     ,Radishes,297,12597
Manicaland ,Makoni,2007,Rainy     ,Kale,95,6795
Manicaland ,Makoni,2007,Rainy     ,Spinach,480,14975
Manicaland ,Makoni,2007,Rainy     ,Lettuce,343,18552
Manicaland ,Makoni,2007,Rainy     ,Broccoli,373,14309
Manicaland ,Makoni,2007,Rainy     ,Cauliflower,296,4220
Manicaland ,Makoni,2007,Cold       ,Cabbage,310,17492
Manicaland ,Makoni,2007,Cold       ,Carrots,76,2061
Manicaland ,Makoni,2007,Cold       ,Beets,405,3671
Manicaland ,Makoni,2007,Cold       ,Peas,206,9055
Manicaland ,Makoni,2007,Cold       ,Radishes,488,7136
Manicaland ,Makoni,2007,Cold       ,Sweet potatoes,106,801
Manicaland ,Makoni,2007,Cold       ,Watermelons,485,15593
